ITS Id,Server Type,Status,Primary SA,RU Size,Current Rack,Current Position,Current Location,Serial #,Manufacturer,Model,General Notes
"uhe2k7cn02","Standalone","Available","msahara","null","Not Assigned","''","","JSC54D1","Dell","Dell 1950","Move to VM",
"uhe2k7ht02","Standalone","Available","msahara","null","Not Assigned","''","","GL6ZLF1","Dell","Dell 1950","move to VM",
"uhe2k7ht3","Standalone","Available","msahara","null","Not Assigned","''","","JL6ZLF1","Dell","Dell 1950","move to VM",
"uhvm01","Standalone","Available","byronw","null","Not Assigned","''","","2TGXXG1","Dell","Dell R805","To be retired",
"uhvm02","Standalone","Available","byronw","null","Not Assigned","''","","JTGXXG1","Dell","Dell R805","To be retired",
"uhvm03","Standalone","Available","byronw","null","Not Assigned","''","","1VGXXG1","Dell","Dell R805","To be retired",
"uhvm04","Standalone","Available","byronw","null","Not Assigned","''","","FTGXXG1","Dell","Dell R805","To be retired",
"ul","Solaris Global Zone","Available","romeot","null","Not Assigned","''","","","Sun","T2000","",
"utl04","Solaris Global Zone","Available","garry","null","Not Assigned","''","","0626NNN0C1","Sun","T2000","",
"vcenter","Standalone","Available","byronw","null","Not Assigned","''","","5ZYCWD1","Dell","Dell 860","",
"web01","Standalone","Available","anicasm","null","Not Assigned","''","","","null","netra X1","",
"web02","Standalone","Available","anicasm","null","Not Assigned","''","","","null","","",
"web05","Standalone","Available","romeot","null","Not Assigned","''","","","null","280R","",
"web11","Standalone","Available","anicasm","null","Not Assigned","''","","","null","280R","",
"web20","Standalone","Available","anicasm","null","Not Assigned","''","","","null","v100","",
"web71","","null","","null","Not Assigned","''","","","null","T2000","",
"wus","Standalone","Available","byronw","null","Not Assigned","''","","","Dell","Dell 860","",
"z890 LPAR","Standalone","Retired","stephen","null","Not Assigned","''","","8D9DE","null","2086-A04 220","Retired effective Nov 1, 2013",
